Element,Molar_ratio,Enthalpy(kJ/mol),std_enthalpy(kJ/mol),a,Delta(%),Omega,Entropy(J/K*mol),Tm(K),std_Tm (%),X,std_X(%),VEC,std_VEC,Phase(0-1),Density(g/com^3),Price(USD/kg)
Al-Co-Cr-Cu-Fe-Ti-,0.20-0.25-0.18-0.14-0.15-0.07-,-9.634598,7.591341,1.350677,4.0510187,2.451141,14.398543,1640.1489,25.754223,1.7573088,7.3974915,7.040484,2.7222521,0.06483001,6.4755726,21.230188
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.14-0.17-0.14-0.08-0.08-0.21-0.18-,-19.519428,10.004025,1.3565271,3.560059,1.3755434,15.736872,1706.1724,21.435883,1.7554793,8.50147,7.1545486,2.79794,0.13063514,6.4903345,16.91116
Al-Cr-Fe-Mo-Ni-Ti-,0.25-0.28-0.26-0.08-0.08-0.05-,-12.811459,5.5064154,1.3627814,4.947675,1.8634814,13.397357,1781.9867,31.638283,1.7444539,9.243559,6.010753,2.190561,0.008650718,6.189713,6.634457
Al-Co-Cr-Fe-Ni-,0.19-0.24-0.24-0.20-0.14-,-11.490265,5.1528854,1.3532457,4.0086393,1.9760007,13.239067,1714.9825,23.902357,1.7713046,6.6815934,7.107886,2.3686717,0.28234208,6.764083,20.826765
Al-Co-Cr-Fe-Ni-,0.07-0.30-0.24-0.16-0.23-,-7.323989,3.9148138,1.3635677,2.8292038,3.118039,12.614479,1810.3385,16.190508,1.8078275,6.042672,7.948231,1.9593805,0.6377794,7.717344,24.105106
Al-Co-Cr-Cu-Fe-Mn-Ni-V-,0.14-0.20-0.18-0.07-0.14-0.16-0.04-0.08-,-8.408337,5.872347,1.3595738,3.7103124,3.2991176,16.412752,1690.1544,23.580986,1.7253786,7.7434993,7.0062366,2.2608657,0.000438323,6.83288,18.593102
Al-Hf-Nb-Ta-Ti-Zr-,0.10-0.13-0.07-0.24-0.14-0.32-,-9.153688,9.6683655,1.4684716,6.2144094,3.575833,13.873923,2359.2502,28.662273,1.4434881,8.003354,4.2162676,0.6016542,1.0,9.256379,397.84207
Al-Co-Cr-Fe-Ni-Ti-,0.14-0.23-0.09-0.16-0.24-0.12-,-19.653753,8.839445,1.3547442,3.5732489,1.2787094,14.69882,1709.7588,19.983152,1.7779148,7.8058877,7.322936,2.5724375,0.16585647,6.707298,20.62259
Co-Cr-Cu-Fe-Mn-Ni-Sn-,0.17-0.18-0.02-0.14-0.24-0.21-0.04-,-3.3113277,3.0783377,1.3819832,2.0353844,7.626096,14.711696,1716.491,19.660284,1.7651097,8.468429,8.318455,1.8940587,0.14563149,7.9702325,15.997023
Al-Co-Cr-Cu-Fe-Ni-,0.26-0.30-0.08-0.12-0.10-0.14-,-9.926276,6.8313575,1.3329277,3.9439418,2.143772,13.891988,1531.7943,26.059004,1.7942153,7.0014515,7.4844418,2.9137459,0.668997,6.561672,25.144629
Al-Co-Cr-Cu-Ni-Ti-,0.16-0.24-0.07-0.28-0.18-0.07-,-9.580907,8.325891,1.340561,3.2486238,2.2495203,13.912331,1549.1611,22.962471,1.807736,7.5401664,8.198796,2.992769,0.26600838,7.019498,20.881256
Al-Cu-Fe-Mn-Ni-Sn-Zn-,0.11-0.27-0.02-0.35-0.12-0.07-0.06-,-3.8438587,5.3030987,1.3648399,3.658245,4.7452664,13.757699,1325.8124,26.645914,1.736877,9.789811,8.8259945,2.9567535,0.00063071906,7.2955294,7.304608
Co-Cr-Cu-Fe-Mn-Ni-Sn-,0.01-0.20-0.01-0.13-0.39-0.22-0.03-,-3.578429,3.0432305,1.3889314,1.7333326,6.000878,12.553938,1710.5156,18.8494,1.7098612,9.042761,7.8750906,1.8014231,0.010633475,7.7775016,7.176137
Al-Cr-Cu-Fe-Ni-Ti-,0.21-0.07-0.15-0.26-0.19-0.12-,-13.902008,9.00579,1.3520327,4.188454,1.6392201,14.332382,1589.9973,24.689255,1.7620248,7.984241,7.151378,2.9663393,0.4844323,6.2507076,5.1788073
Al-Co-Cu-Fe-Li-Mo-Ni-V-,0.02-0.11-0.01-0.31-0.01-0.11-0.27-0.15-,-6.6338468,5.6451387,1.3767225,2.8338106,4.0504127,13.98345,1921.5438,22.523056,1.8498374,9.6017685,7.831763,2.052152,0.3986044,7.9726954,15.84098
Al-Co-Cr-Fe-Mo-Ni-,0.18-0.24-0.15-0.13-0.06-0.24-,-12.0455675,5.593761,1.3524945,4.0728164,2.0601542,14.219784,1745.1547,26.906988,1.815571,7.9944224,7.4303913,2.4723263,0.18811819,7.159965,21.562672
Cr-Fe-Mo-Ni-Ti-,0.39-0.14-0.07-0.21-0.20-,-13.227235,6.7282414,1.3927561,1.8344909,1.8801908,12.218968,2035.3374,14.474358,1.7462795,9.828724,6.7275248,2.049249,0.00050712505,7.1092863,8.112641
Cu-Mn-Ni-,0.38-0.45-0.16-,1.4128298,2.8569655,1.3726437,1.8210077,8.980219,8.507618,1491.3137,8.586555,1.743174,10.083194,9.025402,1.8736593,0.017724736,8.250381,5.555563
Al-Co-Cr-Fe-Ni-Ti-V-,0.32-0.12-0.14-0.17-0.08-0.14-0.03-,-22.65384,8.364287,1.3403289,4.865886,1.0420629,14.770972,1598.1835,29.922592,1.6998124,7.6312885,5.7184653,2.5322073,0.056129195,5.325991,14.107621
Al-Co-Cr-Cu-Fe-Mg-Zn-,0.44-0.18-0.02-0.21-0.03-0.08-0.04-,-6.063873,5.638583,1.3199561,5.528867,2.5128815,12.520002,1217.0757,30.930593,1.7073171,10.17669,6.2891254,3.6892838,0.92691946,4.860677,18.60079
Co-Cr-Cu-Fe-Mn-Ni-,0.13-0.14-0.33-0.17-0.03-0.20-,5.5853763,4.228214,1.3670447,1.7412463,4.0964704,13.615989,1680.4016,16.235798,1.8427601,5.340487,9.212565,1.7427844,0.99031645,8.434446,13.163173
Al-Co-Cr-Cu-Fe-Ni-,0.22-0.25-0.15-0.14-0.19-0.04-,-5.9749126,6.279076,1.345505,4.091997,3.767097,14.095999,1596.7703,26.061407,1.7819091,6.7051706,7.368234,2.7159128,0.07071113,6.6853576,21.04271
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.12-0.18-0.14-0.16-0.18-0.02-0.20-,-12.853442,8.866217,1.3639224,3.5434022,2.0141485,15.240939,1698.6313,21.827337,1.7421594,8.251581,6.9974756,2.7505283,0.07575535,6.415228,15.838068
Al-Cr-Fe-Ni-Ti-,0.31-0.22-0.19-0.07-0.20-,-21.788733,7.8220415,1.3492565,5.061663,0.96219325,12.805493,1637.1857,30.214325,1.6707324,7.013023,5.3277273,2.2636817,0.006515309,5.108846,4.8737707
Co-Cr-Cu-Fe-Mo-Ni-Ti-,0.20-0.20-0.06-0.16-0.06-0.19-0.13-,-9.775781,7.700297,1.3801692,2.1526077,3.0106642,15.4191,1908.7748,16.577482,1.8072085,8.599935,7.744694,2.1282327,0.11040545,7.700612,18.11643
Al-Hf-Nb-Si-Ti-Zr-,0.06-0.15-0.27-0.12-0.22-0.19-,-30.771856,20.658993,1.4210066,9.840298,1.0058781,14.123739,2191.5396,22.054518,1.5262694,11.901306,4.212639,0.53271884,0.00022350991,7.086277,463.1016
Hf-Nb-Si-Ti-V-Zr-,0.22-0.25-0.09-0.20-0.02-0.22-,-21.44949,19.356516,1.4501705,8.84124,1.4509027,13.596223,2288.9531,15.5068,1.4898703,12.211509,4.2668476,0.4441233,0.0018875109,7.904163,604.60767
Al-Cr-Cu-Fe-Mn-Ni-,0.14-0.19-0.01-0.29-0.12-0.24-,-9.690984,5.110974,1.365844,3.792861,2.3410912,13.366891,1697.2887,21.863043,1.7530333,7.530661,7.3055987,2.2506523,0.0722963,6.943421,5.3048906
Al-Cr-Nb-Ti-V-,0.16-0.14-0.24-0.29-0.15-,-13.313671,7.0232186,1.3809586,4.7218127,2.0490124,13.261928,2057.0068,28.265402,1.5965017,2.6483462,4.529584,0.92649484,0.30860054,5.895695,27.015203
Co-Cr-Fe-Ni-,0.18-0.32-0.15-0.35-,-4.7597027,1.8756624,1.3735878,1.8248953,4.3943048,11.050836,1892.6694,10.528999,1.8123071,5.949842,8.232891,1.6713108,0.9565354,8.156602,17.795492
Al-Co-Cr-Cu-Ni-Ti-,0.20-0.28-0.09-0.20-0.15-0.08-,-13.1061125,8.749573,1.3388563,3.5834198,1.6992698,14.207108,1567.5828,24.639973,1.7865078,7.9199724,7.6625423,3.0338235,0.6380922,6.664023,23.77205
Cr-Cu-Fe-Mn-Ni-,0.16-0.23-0.25-0.21-0.15-,4.1366005,4.2369466,1.3808794,1.7660713,5.3978214,13.222628,1688.6686,15.975549,1.7719628,7.985057,8.4709635,1.8152084,0.042254124,8.069627,5.073132
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.25-0.18-0.08-0.16-0.10-0.13-0.10-,-14.929747,9.083573,1.3390089,4.160417,1.6124086,15.601963,1542.9373,26.583275,1.7621148,8.10334,7.090447,3.0827558,0.8604227,6.161893,17.509491
Nb-Ta-Ti-V-,0.34-0.32-0.28-0.06-,0.6758494,1.2383227,1.4297397,2.1620195,41.38147,10.526624,2656.852,20.368376,1.5532352,2.9200017,4.714978,0.45770276,1.0,9.923433,143.3504
Al-Co-Cu-Mg-Ni-Sn-Zn-,0.50-0.19-0.13-0.11-0.02-0.01-0.04-,-7.971201,5.5193377,1.3176924,6.1058683,1.7193825,11.977198,1144.3027,31.084812,1.6791553,10.846844,5.7494793,3.7215288,0.95758253,4.3623996,19.849712
Mo-Nb-Ta-Ti-V-W-Zr-,0.10-0.34-0.10-0.21-0.03-0.05-0.17-,-1.4258462,2.479678,1.4477042,3.7864587,25.691433,14.247664,2571.0884,19.738094,1.6274352,16.626812,4.7709193,0.6916186,0.9999988,8.633785,67.72287
Mo-Nb-Ti-V-W-,0.15-0.41-0.30-0.11-0.03-,-2.2636414,1.9962668,1.4216862,2.5153685,12.365758,11.225856,2493.496,17.60542,1.6918855,14.059928,4.8796377,0.6853454,0.9999814,7.58829,27.941236
Al-Co-Cr-Fe-Mn-Ni-Ti-V-,0.07-0.27-0.18-0.07-0.07-0.21-0.08-0.05-,-15.104879,7.4333196,1.3632686,2.8978448,1.8862411,15.871792,1795.0991,17.225332,1.7594074,8.080603,7.4093823,2.2531364,0.0043426747,7.1583457,23.205341
Al-Co-Cr-Fe-Ni-Ti-,0.18-0.25-0.18-0.08-0.22-0.09-,-19.386211,8.300662,1.3493443,3.8620207,1.2543205,14.304761,1699.8899,23.268005,1.7620852,7.874178,7.0364494,2.6390703,0.5096785,6.505453,22.19207
Cr-Cu-Fe-Ni-Ti-,0.40-0.14-0.21-0.22-0.02-,-0.29840666,5.2248716,1.3811737,1.906305,74.2699,11.815652,1875.6946,15.573303,1.7811362,6.5187774,7.924831,2.0565925,0.3159892,7.790092,6.752352
Al-Co-Cr-Cu-Fe-Mn-Ni-Ti-V-,0.05-0.22-0.11-0.09-0.11-0.12-0.05-0.02-0.23-,-7.428853,5.7902975,1.3635097,2.5455282,4.0442796,16.604391,1809.422,18.616222,1.7367383,7.7879043,7.2479386,2.1786623,0.0047329315,7.2248178,22.073599
Al-Cr-Cu-Fe-Ni-Ti-,0.20-0.16-0.09-0.30-0.17-0.07-,-11.42582,7.5968456,1.357203,4.222767,2.0299067,14.046862,1651.1409,25.014305,1.7577552,7.35074,7.0098248,2.6990812,0.10465543,6.374763,5.071178
Al-Co-Cr-Fe-Mn-Ni-,0.03-0.06-0.27-0.22-0.20-0.22-,-5.675443,3.3635871,1.3814617,2.3535426,4.2597976,13.411226,1802.6864,15.652725,1.7410079,7.8894963,7.6014104,1.6869147,0.54320055,7.6395497,8.925
Al-Co-Cr-Fe-Mo-Ni-,0.17-0.21-0.16-0.19-0.09-0.17-,-11.029691,5.2037582,1.3599296,4.3137827,2.3948994,14.679569,1799.4395,28.66323,1.8198422,8.640737,7.180251,2.3492627,0.00015652439,7.2113023,19.998592
Hf-Nb-Ta-Ti-W-Zr-,0.18-0.09-0.27-0.22-0.08-0.16-,-0.013823092,2.2765388,1.4648827,4.576987,2720.963,14.20785,2647.0854,22.475079,1.5223906,17.399765,4.518034,0.6383942,1.0,11.05182,454.03107
Al-Co-Cr-Cu-Fe-Ni-,0.22-0.17-0.23-0.13-0.18-0.06-,-6.0563383,6.1319227,1.3490992,4.19892,3.8766356,14.356891,1635.327,27.018753,1.7655733,6.8372912,7.1415324,2.6855783,0.06305028,6.589751,16.695623
Nb-Ta-Ti-V-,0.26-0.28-0.29-0.16-,0.23052248,0.8587442,1.419398,2.6295762,126.46963,11.322829,2574.8174,21.120361,1.5587785,3.110059,4.705863,0.457705,1.0,9.434163,137.97415
Al-Co-Cr-Cu-Fe-Mn-Ni-,0.11-0.14-0.14-0.22-0.14-0.05-0.19-,-1.8873913,5.940876,1.3559966,3.2109828,13.485285,15.631016,1628.3007,21.349657,1.8054087,6.902682,8.315754,2.4738445,0.11018328,7.522132,14.4808855
Al-Co-Cr-Fe-Ni-,0.16-0.29-0.14-0.15-0.27-,-11.212657,5.4976664,1.3487719,3.5428014,1.9531397,12.963603,1689.336,21.029613,1.8084967,6.4117603,7.772527,2.397888,0.22540127,7.18044,24.097193
Al-Cu-Mn-Ni-Sn-Zn-,0.15-0.28-0.25-0.15-0.09-0.08-,-5.031381,5.538951,1.3565762,4.0646205,3.5138326,14.074024,1256.1743,30.45837,1.7566977,9.503961,9.002651,3.2836368,7.284162e-05,7.068293,8.307447
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.16-0.22-0.14-0.20-0.09-0.15-0.04-,-6.7857356,7.410632,1.3478711,3.512956,3.665008,15.36839,1618.2417,23.66413,1.7976532,7.097169,7.910183,2.7758367,0.059007525,7.057295,19.621538
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.15-0.12-0.04-0.12-0.16-0.26-0.14-,-16.935907,9.871771,1.352355,3.5703347,1.4772125,15.338601,1631.044,20.857277,1.7860094,8.079262,7.6392584,2.8733394,0.12956175,6.676581,13.790474
Al-Co-Cr-Fe-Mn-Ni-,0.22-0.23-0.13-0.16-0.07-0.19-,-13.615431,6.061925,1.3461576,4.108705,1.7133111,14.376265,1622.6375,24.435404,1.7680981,7.495239,7.2006145,2.526591,0.6696374,6.6457148,20.542725
Al-Cu-Mg-Ni-Zn-,0.51-0.05-0.27-0.14-0.04-,-8.45577,4.9496026,1.3392467,7.798774,1.2932298,10.364244,1055.094,27.847954,1.588665,12.643329,4.4658456,3.3637373,0.1185999,3.272022,4.950499
Al-Co-Cr-Fe-Ni-,0.17-0.28-0.13-0.17-0.23-,-12.851927,6.322031,1.3452326,4.1226487,1.7455051,13.407361,1673.1927,21.929684,1.8033779,6.4835644,7.5838685,2.4604943,0.52380145,6.9489646,23.77598
Al-Co-Cr-Cu-Fe-Ni-Ti-V-,0.23-0.06-0.16-0.01-0.21-0.17-0.06-0.09-,-17.424707,7.347198,1.3482347,4.325962,1.5034839,15.53388,1686.492,26.699184,1.7345563,7.4088,6.457651,2.5777087,0.113381036,6.0598907,11.463021
Cr-Cu-Fe-Ni-Ti-,0.31-0.19-0.16-0.32-0.01-,1.1305592,5.090777,1.3742619,1.8247284,18.59487,11.584275,1814.7548,16.05817,1.8120441,6.2590413,8.541872,2.047838,0.7893511,8.107982,7.1991873
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.16-0.10-0.12-0.13-0.12-0.21-0.17-,-16.958345,9.90485,1.3544836,3.73419,1.5586321,15.96253,1655.8665,22.961792,1.7583481,8.445371,7.2340283,2.9316838,0.31169587,6.4270363,12.416631
Al-Co-Cr-Fe-Ni-,0.17-0.27-0.21-0.13-0.21-,-11.862867,5.4063015,1.3503693,3.7771537,1.919993,13.284296,1714.5522,23.13545,1.7876773,6.870148,7.407098,2.4312143,0.3420785,6.9782534,23.32658
Al-Co-Cr-Fe-Mn-Ni-,0.13-0.26-0.08-0.15-0.14-0.23-,-10.463257,5.8563643,1.355257,3.5406108,2.322493,14.844845,1636.9884,20.583862,1.7742865,8.733233,7.721414,2.314554,0.19940297,7.166605,21.750706
Al-Co-Cr-Fe-Mo-Ni-,0.15-0.18-0.20-0.13-0.01-0.33-,-11.575924,5.345406,1.3526738,3.6542065,1.9964164,13.3390255,1732.5376,22.71759,1.8038359,7.086268,7.672436,2.4433768,0.40985912,7.1966505,18.383453
Al-Co-Cr-Fe-Ni-Ti-,0.08-0.32-0.16-0.11-0.21-0.11-,-16.28532,8.128623,1.3617768,3.041431,1.5539092,14.280072,1772.1133,17.908373,1.7859998,7.5918207,7.611186,2.4033048,0.05225089,7.1312366,25.298456
Co-Cr-Cu-Fe-Mn-Ni-Sn-,0.12-0.16-0.08-0.18-0.15-0.28-0.02-,-1.4008088,3.509492,1.3769542,1.9779487,18.391289,14.893828,1729.754,16.91857,1.7978547,7.5369267,8.596771,1.7957721,0.7988525,8.134159,13.540671
Al-Co-Cr-Fe-Ni-V-,0.04-0.28-0.03-0.15-0.24-0.26-,-13.228279,5.425221,1.3547949,2.121792,1.8195457,13.007797,1850.3867,14.448075,1.7978638,6.6681952,7.7286763,2.1515121,0.03258097,7.524901,26.876524
Al-Co-Cr-Cu-Fe-Ni-V-,0.21-0.05-0.19-0.14-0.26-0.08-0.08-,-5.577871,6.200161,1.3520297,4.196143,4.497966,15.140084,1657.1288,27.357641,1.756685,6.921045,6.9878073,2.6922133,0.051984865,6.488439,9.442249
Al-Co-Cr-Cu-Fe-Ni-,0.06-0.17-0.01-0.28-0.18-0.29-,1.4458158,5.1855106,1.3530357,2.4724154,14.334225,12.95644,1599.5645,16.177317,1.8652781,4.125751,9.24992,1.9932554,0.98479027,8.129614,16.022022
Al-Co-Cr-Fe-Mo-Ni-Ti-,0.24-0.10-0.27-0.21-0.08-0.07-0.03-,-12.598722,5.5073705,1.358886,4.8664455,2.0439389,14.525002,1772.8752,31.476963,1.7592646,9.132846,6.2388897,2.2715518,0.00033969956,6.375697,13.152667
Co-Cr-Fe-Mo-Ni-Ti-V-,0.21-0.05-0.21-0.12-0.28-0.07-0.06-,-11.121355,6.49669,1.3786147,2.5323925,2.609774,14.798109,1961.3466,18.973087,1.8600192,8.4433775,7.940725,1.9344528,0.16074677,8.153676,19.637642
Al-Cu-Mg-Sn-Zn-,0.47-0.05-0.39-0.05-0.03-,-2.215065,1.5412066,1.3669087,8.605641,3.9058046,9.40565,919.8309,15.303889,1.5248386,12.884053,3.8482766,3.406135,0.0036603608,2.8670971,6.152248
Al-Co-Cr-Fe-Mo-Ni-,0.23-0.20-0.22-0.17-0.02-0.15-,-13.613604,5.849646,1.3480532,4.3708596,1.7396128,14.061437,1684.2089,27.424437,1.7676594,7.509152,6.851119,2.5251398,0.31040496,6.488321,19.254414
Cr-Mo-Nb-Ti-V-,0.20-0.11-0.37-0.21-0.11-,-4.549128,2.3751683,1.4184545,2.3760948,6.665629,12.529442,2420.1233,14.948991,1.6658585,10.80578,5.108617,0.7161139,0.9981184,7.377356,26.570004
Al-Cr-Nb-Ni-Ti-Zr-,0.26-0.13-0.09-0.04-0.28-0.20-,-27.722122,12.047828,1.3938174,7.4162483,0.89498764,13.677331,1814.0201,31.436113,1.5520965,8.602461,4.33609,1.4945658,8.547258e-06,5.3314238,17.50425
Mo-Nb-Ti-V-,0.16-0.33-0.27-0.25-,-2.047859,1.6579283,1.4123123,2.9748352,13.486129,11.442842,2413.5332,15.850923,1.6774685,12.550898,4.8841763,0.644481,0.9997497,7.133355,26.581354
Al-Cr-Cu-Fe-Ni-Ti-,0.19-0.07-0.23-0.20-0.22-0.09-,-9.782635,8.670119,1.3487179,3.926654,2.2647662,14.227041,1557.2722,24.296158,1.7841878,7.7638073,7.687219,3.0578098,0.12598528,6.5828724,5.76713
Al-Co-Cr-Cu-Fe-Ni-Sn-,0.31-0.16-0.10-0.18-0.07-0.07-0.09-,-4.864778,6.5354614,1.3365855,4.917459,4.238421,15.275824,1349.7781,36.829617,1.7804108,7.7949038,7.6551323,3.6947289,0.0014330273,6.1878304,17.854982
